Date,Open,High,Low,Close,Volume
2018-11-13,27.151,27.151,26.1998,26.4907,18822067.018289
2018-11-14,26.5833,26.7125,26.2739,26.2906,12868211.345854
2018-11-15,26.2098,26.8395,25.9713,26.5556,13095725.342711
2018-11-16,26.396,26.7202,26.2816,26.5104,13274126.511427
2018-11-19,26.4157,26.7055,26.2048,26.3566,12264641.524803
2018-11-20,26.1132,26.9894,26.0165,26.5468,16847684.65443
2018-11-21,26.9056,27.1087,26.6346,26.7172,12827597.00028
2018-11-23,26.5645,27.3866,26.5645,26.811,7668265.2338371
2018-11-26,27.151,27.3579,26.8956,27.151,11687484.370668
2018-11-27,26.944,27.2239,26.7813,27.0938,10420451.530648
2018-11-28,27.151,28.1317,27.0653,28.0548,23364068.646041
2018-11-29,27.8763,28.1661,27.6408,27.8281,9376492.6970721
2018-11-30,27.7818,28.1711,27.5827,28.1414,20907137.653197
2018-12-03,28.4401,28.6184,28.108,28.4677,20104504.879889
2018-12-04,28.3385,28.593,27.4663,27.5827,18383115.726609
2018-12-06,27.2239,27.8478,27.1234,27.7818,16464957.683761
2018-12-07,27.7442,28.1908,27.2515,27.3963,12501429.176223
2018-12-10,27.489,27.6123,27.075,27.3205,11293644.233867
2018-12-11,27.7148,27.8566,27.2811,27.3866,13334655.877986
2018-12-12,26.8682,27.7995,26.6364,27.3766,13620794.793961
2018-12-13,27.5264,27.632,27.1234,27.3579,13006893.066515
2018-12-14,27.1421,27.4703,27.1037,27.2515,11775640.90792
2018-12-17,27.1332,27.3392,26.7332,26.8494,17651354.372483
2018-12-18,26.9253,27.1332,26.7913,26.8682,14712367.857449
2018-12-19,26.8592,27.558,26.473,26.6798,19562917.365585
2018-12-20,26.5833,26.8869,25.9978,26.3862,23029781.808438
2018-12-21,26.4157,26.7172,24.7925,25.0555,34133699.65124
2018-12-24,25.0301,25.3779,24.6416,24.6416,6593808.8609941
2018-12-26,24.8407,26.2816,24.5214,26.2551,12202694.72986
2018-12-27,25.9071,26.4354,25.4715,26.4256,10363542.339088
2018-12-28,26.5004,26.9982,26.4108,26.6227,9314577.3554433
2018-12-31,26.7529,26.8682,26.2906,26.463,8092912.3699313
2019-01-02,26.0648,27.2958,25.9811,27.1982,11870352.924619
2019-01-03,26.9894,27.1697,26.6571,26.6985,11460387.383881
2019-01-04,26.9627,27.416,26.7075,27.3106,15480503.447476
2019-01-07,27.3008,27.9513,27.2712,27.7818,14234867.992699
2019-01-08,28.036,28.3582,27.7098,28.2814,8676718.3488325
2019-01-09,28.2716,28.655,28.036,28.5553,11252036.572337
2019-01-10,28.4056,28.8856,28.2913,28.8185,9272594.2833899
2019-01-11,28.4233,28.7861,27.7345,28.6688,14204573.378039
2019-01-14,28.45,28.5456,28.2716,28.4775,7980279.0665176
2019-01-15,28.5653,28.9882,28.5356,28.9142,7589407.7167249
2019-01-16,28.9043,28.9418,28.5356,28.5553,13498989.298286
2019-01-17,28.4233,28.8008,28.3385,28.6401,13597381.352743
2019-01-18,28.856,29.2434,28.6963,29.2257,14680711.618674
2019-01-22,32.3727,32.7599,30.8577,31.0145,59804470.144674
2019-01-23,31.4895,31.6088,30.5995,30.7424,20452149.229784
2019-01-24,30.8282,30.976,30.4792,30.7799,12702466.584911
2019-01-25,31.0628,31.8256,30.9208,31.7872,18064513.946544
2019-01-28,31.5713,32.2692,31.4895,32.0711,23682076.871628
2019-01-29,32.4012,32.4573,31.6176,31.7596,20477038.947522
2019-01-30,32.0247,32.354,30.9957,32.1272,28999760.855562
2019-01-31,31.8256,32.0414,30.8932,31.724,26515795.231879
2019-02-01,31.8157,32.5057,31.7053,32.344,20275229.410702
2019-02-04,32.5718,33.1788,32.2405,33.0418,21001551.370723
